"mcs150_date","add_date","status_code","dot_number","dun_bradstreet_no","phy_omc_region","safety_inv_terr","carrier_operation","business_org_id","mcs150_mileage","mcs150_mileage_year","mcs151_mileage","total_cars","mcs150_update_code_id","prior_revoke_flag","prior_revoke_dot_number","phone","fax","cell_phone","company_officer_1","company_officer_2","business_org_desc","truck_units","power_units","bus_units","fleetsize","review_id","recordable_crash_rate","mail_nationality_indicator","phy_nationality_indicator","phy_barrio","mail_barrio","carship","docket1prefix","docket1","docket2prefix","docket2","docket3prefix","docket3","pointnum","total_intrastate_drivers","mcsipstep","mcsipdate","hm_ind","interstate_beyond_100_miles","interstate_within_100_miles","intrastate_beyond_100_miles","intrastate_within_100_miles","total_cdl","total_drivers","avg_drivers_leased_per_month","classdef","legal_name","dba_name","phy_street","phy_city","phy_country","phy_state","phy_zip","phy_cnty","carrier_mailing_street","carrier_mailing_state","carrier_mailing_city","carrier_mailing_country","carrier_mailing_zip","carrier_mailing_cnty","carrier_mailing_und_date","driver_inter_total","email_address","review_type","review_date","safety_rating","safety_rating_date","undeliv_phy","crgo_genfreight","crgo_household","crgo_metalsheet","crgo_motoveh","crgo_drivetow","crgo_logpole","crgo_bldgmat","crgo_mobilehome","crgo_machlrg","crgo_produce","crgo_liqgas","crgo_intermodal","crgo_passengers","crgo_oilfield","crgo_livestock","crgo_grainfeed","crgo_coalcoke","crgo_meat","crgo_garbage","crgo_usmail","crgo_chem","crgo_drybulk","crgo_coldfood","crgo_beverages","crgo_paperprod","crgo_utility","crgo_farmsupp","crgo_construct","crgo_waterwell","crgo_cargoothr","crgo_cargoothr_desc","owntruck","owntract","owntrail","owncoach","ownschool_1_8","ownschool_9_15","ownschool_16","ownbus_16","ownvan_1_8","ownvan_9_15","ownlimo_1_8","ownlimo_9_15","ownlimo_16","trmtruck","trmtract","trmtrail","trmcoach","trmschool_1_8","trmschool_9_15","trmschool_16","trmbus_16","trmvan_1_8","trmvan_9_15","trmlimo_1_8","trmlimo_9_15","trmlimo_16","trptruck","trptract","trptrail","trpcoach","trpschool_1_8","trpschool_9_15","trpschool_16","trpbus_16","trpvan_1_8","trpvan_9_15","trplimo_1_8","trplimo_9_15","trplimo_16","docket1_status_code","docket2_status_code","docket3_status_code"
,"19870710","I","297153",,"04","L","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","DELTA FARMS",,"RT #3 BOX 14","HALLS","US","TN","38040","097","RT #3 BOX 14","TN","HALLS","US","38040","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20050411 0000","19870710","I","297154","34552422","04","L","A","2","60000","2000","0",,"1",,,"9016583182","9016584849",,"WILLIAM HARRIS",,"PARTNERSHIP","1","1","0","A",,,,,,,"C",,,,,,,,"0",,,"N","0","1","0","0","1","1","0","PRIVATE PROPERTY","JACKSON & KELLER LUMBER CO INC",,"811 NORTH MAIN","BOLIVAR","US","TN","38008-9802","069","P O BOX 810","TN","BOLIVAR","US","38008-0810","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870710","I","297155",,"04","L","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","THOMAS GAMBRELL",,"RT  #3","LEXINGTON","US","TN","38351","077","RT  #3","TN","LEXINGTON","US","38351","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870710","I","297156",,"04","L","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","WILLIAM R FISHER",,"1530 WELSH","MEMPHIS","US","TN","38117","157","1530 WELSH","TN","MEMPHIS","US","38117","157","20090716",,,,,,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870710","I","297157",,"04","L","A","3","0",,"0",,"3",,,"9013326939",,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,"S","0",,,"N",,,,,,,,"PRIVATE PROPERTY","HENRY EDWARDS TRUCKING",,"PO BOX 97","CLINTON","US","KY","42031","105","3344 CAZASSA ST","TN","MEMPHIS","US","38116","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870710","I","297158",,"04","L","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","1","1","0","A",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","JAMES CRAWFORD TRANS",,"6666 PLEASANT RIDGE","MILLINGTON","US","TN","38053","157","6666 PLEASANT RIDGE","TN","MILLINGTON","US","38053","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20020117 0000","19870710","I","297159","34781930","04","L","A","3","0",,"75000",,"2",,,"9013637810",,,,,"CORPORATION","4","4","0","C",,,,,,,"C",,,,,,,,"0",,,"N","0","4","0","0","0","4","0","PRIVATE PROPERTY","MEYER & ELLIS COMPANY",,"497 N FRONT ST","MEMPHIS","US","TN","38105-1512","157","P O BOX 30144","TN","MEMPHIS","US","38130-0144","157","20031017",,,"C","19900807",,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870710","I","297160","43136720","04","C","A","3","0",,"80000",,"3",,,"9014580925",,,,,"CORPORATION","12","12","0","F",,,,,,,"C",,,,,,,,"0",,,"N","2","4","0","0","6","6","0","PRIVATE PROPERTY","BEN MOGY & SONS INC",,"2530 SHASTA AVE","MEMPHIS","US","TN","38108-2425","157","P O  BOX 8353","TN","MEMPHIS","US","38108-2425","157","20041202",,,"C","19930826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCRAP METAL","9","2","8",,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,
,"19870710","I","297161",,"04","G","A","1","0",,"0",,"3",,,,,,,,"INDIVIDUAL","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N","1","0","0","0","0","1","0","EXEMPT FOR HIRE","GEORGE W LOVE",,"740 E  1ST NORTH","MORRISTOWN","US","TN","37814","063","740 E  1ST NORTH","TN","MORRISTOWN","US","37814","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FURNITURE",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870710","I","297162",,"04","G","A","1","0",,"0",,"3",,,,,,,,"INDIVIDUAL","1","1","0","A",,,,,,,"C",,,,,,,,"0",,,"N","1","0","0","0","0","1","0","PRIVATE PROPERTY","ROGER VANCE",,"704 SHOEMAKER CT","KINGSPORT","US","TN","37662","163","704 SHOEMAKER CT","TN","KINGSPORT","US","37662","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297164","98976632","05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0","99","20141203","N",,,,,,,,"PRIVATE PROPERTY","WOODDALE LEAS & TRK",,"137 S LAWFORD CT","BLOOMINGDALE","US","IL","60108-1582","113","137 S LAWFORD CT","IL","BLOOMINGDALE","US","60108-1582","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297165",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0","99","20160111","N",,,,,,,,"PRIVATE PROPERTY","THOMPSONS SERV INC",,"13722CRAWFORD","ROBBINS","US","IL","60472","031","13722CRAWFORD","IL","ROBBINS","US","60472","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297166",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0","99","20160111","N",,,,,,,,"PRIVATE PROPERTY","HORRSTS SERVICE INCORPORATED",,"17840 OAKTON SUITE 106","DES PLAINES","US","IL","60018","031","17840 OAKTON SUITE 106","IL","DES PLAINES","US","60018","031","20100702",,,,,,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297167",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","ROBTPJANCZAK",,"125ROXBURYLN","DESPLAINES","US","IL","60018","031","125ROXBURYLN","IL","DESPLAINES","US","60018","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297168",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","J&BTOWINGINC",,"9655W55ST","COUNTRYSIDE","US","IL","60525","031","9655W55ST","IL","COUNTRYSIDE","US","60525","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297169",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","KOPLOS EXACAVATING INC",,"1600 JAMES DR","MOUNT PROSPECT","US","IL","60056","031","1600 JAMES DR","IL","MOUNT PROSPECT","US","60056","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20011016 0000","19870713","I","297170","48502900","05","A","A","3","0",,"0",,"2",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0","99","20160602","N",,,,,,,,"PRIVATE PROPERTY","BRITISH AIRWAYS",,"150 W OLD HIGGINS RD","DES PLAINES","US","IL","60018-2423","031","150 W OLD HIGGINS RD","IL","DES PLAINES","US","60018-2423","031","20031023",,,,,,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20010129 0000","19870713","I","297171",,"05","A","A","3","0",,"0",,"1",,,,"8475938457",,,,"CORPORATION","7","7","0","D",,,,,,,"C",,,,,,,,"0",,,"N","0","3","0","0","3","3","0","OTHER-APPLYING FOR MC;PRIVATE PROPERTY","KOPLOS EXCAVATING INC",,"1600 W JAMES DR","MOUNT PROSPECT","US","IL","60056-5513","031","1600 W JAMES DR","IL","MOUNT PROSPECT","US","60056-5513","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","3","5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297172",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","BRITISHAIRWAYS",,"UNKNOWN","DESPLAINES","US","IL","60018","031","UNKNOWN","IL","DESPLAINES","US","60018","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297173",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","AWMCARTAGE",,"2447SGROVE","BERWYN","US","IL","60402","031","2447SGROVE","IL","BERWYN","US","60402","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297174","798590519","05","A","A","3","0",,"42000",,"3",,,"3124320011",,,,,"CORPORATION","2","2","0","B",,,,,,,"C",,,,,,,,"0",,,"N","2","0","0","0","0","2","0","PRIVATE PROPERTY","KISINCO WORLDWIDE INC","KRONOS INTERNATIONAL SHIPPERS INC","22 N SANGAMON ST","CHICAGO","US","IL","60607-2640","031","22 N SANGAMON ST","IL","CHICAGO","US","60607-2640","031",,,,"C","19950504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"RELIEF GOODS","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297175",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0","99","20160111","N",,,,,,,,"PRIVATE PROPERTY","WASTRKINC",,"1340SKENILWORTH","BERWYN","US","IL","60402","031","1340SKENILWORTH","IL","BERWYN","US","60402","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297176",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","OCSAMERINC",,"5657NOGAGEAVE","ROSEMONT","US","IL","60018","031","5657NOGAGEAVE","IL","ROSEMONT","US","60018","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297177",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","OCSAMERICAINC",,"5657 NOGAGE AVE","ROSEMONT","US","IL","60018","031","5657 NOGAGE AVE","IL","ROSEMONT","US","60018","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297178",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0","99","20160404","N",,,,,,,,"PRIVATE PROPERTY","WILLETT INTERSTATE SYSTEM INC",,"7501 S QUINCY ST #L","HINSDALE","US","IL","60521-5544","043","7501 S QUINCY ST #L","IL","HINSDALE","US","60521-5544","043","20031008",,,,,,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297179",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","SCHIELDSTRKINC",,"102DIANELN","STREAMWOOD","US","IL","60103","031","102DIANELN","IL","STREAMWOOD","US","60103","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297180",,"05","A","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","TAXICABSERVCO",,"136FLORENCE","EVANSTON","US","IL","60202","031","136FLORENCE","IL","EVANSTON","US","60202","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297181","139609465","04","H","B","3","0",,"0",,"3",,,"6012565611",,,,,"CORPORATION","2","2","0","B",,,,,,,"C",,,,,,,,"2",,,"N","0","0","2","0","0","2","0","PRIVATE PROPERTY","ALLIED EQUIPMENT OF NORTH MS INC",,"P O BOX 89","AMORY","US","MS","38821","095","P O BOX 89","MS","AMORY","US","38821-0089","095",,,,"S","19870610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20060207 1011","19870713","A","297182","50879907","04","F","C","3","20000","2005",,,"1","N",,"8642344890","8642344860","8642304919","WILLIAM R. GEE","RUSSELL H PARK, JR.","CORPORATION","2","2","0","B",,,,,,,"C",,,,,,,,"2",,,"N","0","0","1","1","2","2","0","PRIVATE PROPERTY","ENGINEERED PRODUCTS LLC",,"#204 PIEDMONT HWY","GREENVILLE","US","SC","29605","045","P O BOX 6767","SC","GREENVILLE","US","29606-6767","045",,"0","bgee@engprod.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"X","UNSPECIFIED","1","1","6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20260121 1350","19870713","A","297183","34612309","04","C","A","3","25662","2025",,,"1","N","297183","9014769600","9014759114",,"PAUL ROSE","ERIK KRULL","CORPORATION","3","3","0","B",,,,,,,"C",,,,,,,,"2","0","20240510","N","1","1","1","1","4","4","0","PRIVATE PROPERTY","ROSE CONSTRUCTION INC",,"126 HIGHWAY 51 S","COVINGTON","US","TN","38019-1813","167","126 HWY 51 SOUTH","TN","COVINGTON","US","38019-1813","167",,"2","j.morris@roseconstruction.com","C","19910709","C","19910920",,,,,,,,"X",,"X",,,,,,,,,,"X",,,,,,,,,"X",,,,"2","1","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297184",,"04","L","A","2","0",,"0",,"3",,,"9015843199",,,,,"PARTNERSHIP","2","2","0","B",,,,,,,"C",,,,,,,,"0",,,"N","1","0","0","0","0","1","0","EXEMPT FOR HIRE","PEGGY J JOHNSON",,"158 FERN STREET","CAMDEN","US","TN","38320","005","158 FERN STREET","TN","CAMDEN","US","38320","005",,,,"S","19870612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNSPECIFIED",,"2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297185",,"04","L","A","1","0",,"0",,"3",,,"9019257348",,,,,"INDIVIDUAL","3","3","0","B",,,,,,,"C",,,,,,,,"0",,,"N","0","2","0","0","0","2","0","PRIVATE PROPERTY","ARNOLD BEVIS SAWMILL",,"EAST END DRIVE","SAVANNAH","US","TN","38372","071","109 HARBERT DRIVE","TN","SAVANNAH","US","38372","071",,,,"S","19870611",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297186","157759945","04","L","A","1","0",,"12000",,"3",,,"9015843039",,,,,"INDIVIDUAL","2","2","0","B",,,,,,,"C",,,,,,,"P","0",,,"N","0","2","0","0","0","2","0","PRIVATE PROPERTY","ALLGOOD SALVAGE",,"315 HIGHWAY 641 S","CAMDEN","US","TN","38320-1872","005","315 HWY 641","TN","CAMDEN","US","38320","005","20040714",,,"C","19900118",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20020702 0000","19870713","I","297187","37260924","04","H","A","3","0",,"0",,"2",,,"6015457365",,,,,"CORPORATION","1","1","0","A",,,,,,,"C",,,,,,,,"0","99","20160111","N","1","0","0","0","0","1","0","PRIVATE PROPERTY","SOUTH MISSISSIPPI RECYCLING",,"603 E FRONT ST","HATTIESBURG","US","MS","39401-2113","035","603 E FRONT ST","MS","HATTIESBURG","US","39401-2113","035","20040827",,,"S","19870623",,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"UNSPECIFIED",,"1","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20060825 0000","19870713","I","297188",,"04","H","A","1","0",,"0",,"3",,,"6015441151",,,,,"INDIVIDUAL","1","1","0","A",,,,,,,"C",,,,,,,,"0",,,"N","1","0","0","0","0","1","0","PRIVATE PROPERTY","R F CO",,"BOX 15909","HATTIESBURG","US","MS","39404","035","P O BOX 15909","MS","HATTIESBURG","US","39404","035",,,,"S","19870625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297189","148253156","04","L","A","3","0",,"300000",,"3",,,"9016855348",,,,,"CORPORATION","3","3","0","B",,,,,,,"C;S",,,,,,,,"0",,,"N","2","1","0","0","0","3","0","PRIVATE PROPERTY","CEDAR CHEMICAL CORPORATION",,"5100 POPLAR AVE STE 2414","MEMPHIS","US","TN","38137-2401","157","5100POPLAR AVENUE  SUITE 2414","TN","MEMPHIS","US","38137-2401","157","20060926",,,"C","19900809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,"1","2","1",,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297190",,"05","D","A","3","0",,"0",,"3",,,"6512244900",,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0","99","20160602","N","3","0","0","0","0","3","0","PRIVATE PROPERTY","DYNAMITE TRUCK SALES INC",,"780 BARGE CHANNEL RD","ST PAUL","US","MN","55107","123","780 BARGE CHANNEL RD","MN","ST PAUL","US","55107","123","20051109",,,"U","19870623",,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297191",,"05","A","A","3","0",,"0",,"3",,,"3093922978",,,,,"CORPORATION","3","3","0","B",,,,,,,"C",,,,,,,"S","0",,,"N","2","0","0","0","0","2","0","EXEMPT FOR HIRE","HARBACH GILLAN AND NIXON INC",,"101 E 3RD ST","ARMINGTON","US","IL","61721","179","PO BOX 72","IL","ARMINGTON","US","61721","179",,,,"S","19870619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297192","22763478","05","D","A","3","0",,"150000",,"3",,,"2187295456",,,,,"CORPORATION","7","7","0","D",,,,,,,"C;S",,,,,,,,"0","99","20160111","N","3","4","0","0","0","7","0","PRIVATE PROPERTY","LLOYD CURRIE AND SONS",,"4907 LIGHTNING DR","DULUTH","US","MN","55811-1411","137","P O BOX 16358","MN","DULUTH","US","55816-0358","137","20030319",,,"C","19890322",,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GROCERY SUPPLIES","3","4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20010611 0000","19870713","I","297193","99195281","01","Y","A","3","0",,"24824",,"2",,,"4137337861",,,,,"CORPORATION","4","4","0","C",,,,,,,"C",,,,,,,,"0","99","20160111","N","0","1","0","0","0","1","0","PRIVATE PROPERTY","JOHNSON GROUP OF COMPANIES INC",,"1434 MEMORIAL AVE","WEST SPRINGFIELD","US","MA","01089-3536","013","P O BOX 301","MA","SPRINGFIELD","US","01101-0301","013","20030402",,,"C","19900206",,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297194",,"10","B","A","3","0",,"0",,"3",,,"2068857734",,,,,"CORPORATION","5","5","0","C",,,,,,,"C",,,,,,,,"0",,,"N","1","3","0","0","0","4","0","PRIVATE PROPERTY","COAST OYSTER COMPANY",,"UNKNOWN","SOUTH BEND","US","WA","98587","049","P O BOX 166","WA","SOUTH BEND","US","98587","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OYSTERS","1","4","7",,,,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870713","I","297195","5804604","10","A","A","3","0",,"0",,"3",,,"5034692460",,,,,"CORPORATION","4","4","0","C",,,,,,,"C",,,,,,,,"0","99","20160111","N","0","2","0","0","0","2","0","PRIVATE PROPERTY","HORTON BROTHERS INC",,"211 KING STREET","BROOKINGS","US","OR","97415","015","P O BOX H","OR","BROOKINGS","US","97415","015","20070605",,,"S","19870602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20110527 0000","19870714","I","297196","622012011","01","N","A","1","190000","2006","60000",,"1","N",,"8606735859",,,"DON WEIS",,"INDIVIDUAL","1","1","0","A",,,,,,,"C","MC","200591",,,,,,"0",,,"N","1","0","0","0","1","1","0","AUTHORIZED FOR HIRE;U. S. MAIL","DON WEIS",,"376 GEORGE WASHINGTON TPKE","BURLINGTON","US","CT","06013-2417","003","376 GEORGE WASHINGTON TPKE","CT","BURLINGTON","US","06013-2417","003",,,,"S","19890314",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A",,
,"19870714","I","297197",,"01","O","A","3","0",,"0",,"3",,,,,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","W W TRUCKING",,"449 NAUBUC AVE","GLASTOBURY","US","CT","06033","003","449 NAUBUC AVE","CT","GLASTOBURY","US","06033","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870714","I","297198",,"01","O","A","3","0",,"0",,"3",,,"2037630803",,,,,"CORPORATION","0","0","0","0",,,,,,,"C",,,,,,,,"0",,,"N",,,,,,,,"PRIVATE PROPERTY","THOMPSON BAKERY SUPPLIES INC",,"230N SHAKER RD","ENFIELD","US","CT","06082","003","230 SHAKER RD","CT","ENFIELD","US","06082","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"19870714","I","297199","131863003","01","O","A","3","0",,"18000",,"3",,,"2036479169",,,,,"CORPORATION","4","4","0","C",,,,,,,"C",,,,,,,,"0","99","20160505","N","4","0","0","0","0","4","0","PRIVATE PROPERTY","TECHNICAL ENVIRONMENT SPECIALISTS CORPORATION",,"210 MAIN STREET","MANCHESTER","US","CT","06040","003","210 MAIN STREET","CT","MANCHESTER","US","06040","003","20031106",,,"C","19900412",,,"U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
